Estuary	Parameter	Value	Metadata
AltamahaRiver	Estuary Latitude	31.33073	Centerpoint latitude for estuary (centroid Y)
AltamahaRiver	Estuary Longitude	-81.35295	Centerpoint longitude for estuary (centroid X)
AltamahaRiver	Catchment Latitude	32.82617	Centerpoint latitude for catchment (centroid Y)
AltamahaRiver	Catchment Longitude	-82.86323	Centerpoint longitude for catchment (centroid X)
AltamahaRiver	Estuary Area (km2)	39	Estuary area, calculated from NOAA shapefiles
AltamahaRiver	Tidal Fresh Zone Area (km2)	5	Tidal Fresh area, calculated from NOAA shapefiles
AltamahaRiver	Mixing Zone Area (km2)	29	Mixing Zone area, calculated from NOAA shapefiles
AltamahaRiver	Saltwater Zone Area (km2)	5	Salt Water area, calculated from NOAA shapefiles
AltamahaRiver	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
AltamahaRiver	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
AltamahaRiver	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
AltamahaRiver	Estuary Volume (m3)	76440000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
AltamahaRiver	Estuary Depth (m)	1.96	From digital bathymetric chart if available; otherwise NOAA planimetry
AltamahaRiver	Estuary Perimeter (km)	215	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
AltamahaRiver	Percent Estuary Open (%)	1.63	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
AltamahaRiver	Catchment Area (km2)	36962	
AltamahaRiver	Catchment Mean Elev. (m)	133	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
AltamahaRiver	Catchment Max Elev. (m)	459	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
AltamahaRiver	Catchment/Estuary Area Ratio	947.7	Area ratio, based on catchment and area data given above
AltamahaRiver	Total (km2)	36754.50998	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AltamahaRiver	Population (#)	1681584	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
AltamahaRiver	Pop / Estuary Area (#.km-2)	43117.5	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
AltamahaRiver	Tide Height (m)	1.9	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
AltamahaRiver	Tide Volume (m3)	74100000	Tide Height (m) x Estuary Area (km2) x 106
AltamahaRiver	Tides/day (#)	2	NOAA designation
AltamahaRiver	Tide Volume / Day (m3.d-1)	143188406	Calculated from tide V and tides/d
AltamahaRiver	Tide Ratio	0.97	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
AltamahaRiver	Stratification Ratio	0.23917	Total freshwater flux per day divided by tide volume per day
AltamahaRiver	Percent Freshwater (%)	12	Based on NOAA shape files of the 3 zones according to their designation
AltamahaRiver	Percent Mixed Water (%)	75.1	Based on NOAA shape files of the 3 zones according to their designation
AltamahaRiver	Percent Seawater (%)	13	Based on NOAA shape files of the 3 zones according to their designation
AltamahaRiver	Average Salinity (psu)	13	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
AltamahaRiver	Tidal Exchange (days)	1	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
AltamahaRiver	Tidal Freshwater Flush (d)	0	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
AltamahaRiver	Daily FW/Est Area (m.d-1)	876.923	NOAA estimate of daily flow/estuary area
AltamahaRiver	Daily Freshwater (m3.d-1) (Best)	34200000	NOAA estimate above or (if not available) NCPDI estimate
AltamahaRiver	Flow / Estuary Area (m.d-1) (Best)	876.923	Best estimate/estuary area
AltamahaRiver	Total FW Volume (1.d-1)	0.44801	Best estimate/estuary volume (= hydraulic exchange rate)
AltamahaRiver	Daily Precipitation (m3.d-1)	138000	Direct precip on system, derived from PRISM shapefile
AltamahaRiver	Daily Evaporation (m3.d-1)	91800	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
AltamahaRiver	Daily Precip / Est Area (mm.d-1)	3.538	Daily precipitation/estuary area
AltamahaRiver	Daily Evap / Est Area (mm.d-1)	2.354	Daily evaporation/estuary area
AltamahaRiver	Flow (m3.d-1)	38800000	NCPDI_1982-1991
AltamahaRiver	Air Temp Mean (C)	20.4	For estuary, derived from LOICZ 0.5 degree database
AltamahaRiver	Air Temp Std Dev (C)	5.8	For estuary, derived from LOICZ 0.5 degree database
AltamahaRiver	Frost Days (#)	28	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
AltamahaRiver	Wind Speed (m.sec-1)	6.7	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
AltamahaRiver	Sea Surface Temp Mean (C)	23.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Sea Surface Temp Std Dev (C)	3.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Ocean Salinity Mean (psu)	35.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Ocean Salinity Max (psu)	35.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Ocean Salinity Min (psu)	34.6	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Oceanic DIP (µM)	0.17	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
AltamahaRiver	Oceanic NO3 (µM)	0.29	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
