OCEAN	REGION1	REGION	POP	ESTUARY	SITE	SAMPLE_ID	LAT	LONG	SEX	WEIGHT	SL	TL	YEAR	MONTH	DAY	FIELD_ID	SAMPLER	COUNTRY	STATE	MAJORAREA	MINORBAY	STATION	SHALLOWDEPTH	DEEPWATERDEPTH	TEMP	DO	SALINITY	TURBIDITY
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00047	32.81	-79.97	U		220	274	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00053	32.81	-79.97	U		355	430	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00058	32.8	-79.97	U		284	347	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00073	32.83	-79.98	U		181	239	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00194	32.83	-80.02	U		405	484	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-00218	32.81	-79.96	U		150	190	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-01254	32.81	-79.96	U	791		390	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-01287	32.81	-79.96	U	363		321	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-01646	32.83	-80	U	35	124	152	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	AshleyRiver	Ple-01656	32.8	-79.97	U	182	210	258	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-00013	32.77	-79.86	U		245	310	1998				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-00472	32.75	-79.9	U	966	377	454	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-00617	32.76	-79.94	U	679	326	388	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-00619	32.77	-79.86	U	225	223	274	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-00764	32.75	-79.9	U		431	510	2011				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-01160	32.78	-79.92	U	579		368	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-01166	32.78	-79.91	U	410		342	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-01197	32.78	-79.88	U			428	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-01356	32.76	-79.88	U	1323		476	2013				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CharlestonHarbor	Ple-01774	32.76	-79.94	U	48	133	163	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-00597	32.98	-79.91	U	159	193	238	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-00598	32.97	-79.91	U	481	279	342	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-00599	32.98	-79.92	U	289	240	292	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-00675	32.98	-79.92	U	647	323	395	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01817	32.91	-79.95	U		315	387	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01830	32.83	-79.94	U	1304	402	486	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01831	32.84	-79.95	U	908	349	426	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01832	32.83	-79.94	U	882	357	432	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01833	32.83	-79.94	U	464	291	352	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	CooperRiver	Ple-01860	32.98	-79.91	U	1480	412	492	2015				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	IOPtoBullIsland	Ple-00509	32.8	-79.79	U		337	410	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	IOPtoBullIsland	Ple-00521	32.82	-79.73	U		335	412	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	IOPtoBullIsland	Ple-00522	32.82	-79.73	U		349	420	2010				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	IOPtoBullsIsland	Ple-00974	32.87	-79.65	U		283	343	2011				SC DNR	USA	SC									
ATL	MATL	MATL	SC	CharlestonHarbor	IOPtoBullsIsland	Ple-00975	32.87	-79.65	U		303	373	2011				SC DNR	USA	SC									
